sure_no;sure_adi;ayet_no;ayet_arapca;ayet_turkce;kelime_kokleri
1;Fatiha;1;بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّح۪يمِ;Rahmeti Bol ve Kesintisiz Olan Allah'ın Adıyla.;smw (سمو): adıyla | rHm (رحم): Rahman | rHm (رحم): Rahim
1;Fatiha;2;اَلْحَمْدُ لِلّٰهِ رَبِّ الْعَالَم۪ينَۙ;Övülmeye değer olan yalnızca Alemlerin Rabb'i Allah'tır.;Hmd (حمد): hamdolsun | rbb (ربب): Rabbi | Elm (علم): Alemlerin
1;Fatiha;3;اَلرَّحْمٰنِ الرَّح۪يمِۙ;O'nun Rahmeti Bol ve Kesintisizdir.;rHm (رحم): (O) Rahman'dır | rHm (رحم): Rahim'dir
1;Fatiha;4;مَالِكِ يَوْمِ الدّ۪ينِۜ;O, Hesap Günü'nün sahibidir.;mlk (ملك): sahibidir | ywm (يوم): gününün | dyn (دين): Din
1;Fatiha;5;اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَع۪ينُۜ;Yalnız Sana kulluk eder ve yalnız Sen'den yardım dileriz.;Ebd (عبد): kulluk ederiz | Ewn (عون): yardım isteriz
1;Fatiha;6;اِهْدِنَا الصِّرَاطَ الْمُسْتَق۪يمَۙ;"Bize doğru yolu göster;";hdy (هدي): bizi ilet | SrT (صرط): yola | qwm (قوم): doğru
1;Fatiha;7;صِرَاطَ الَّذ۪ينَ اَنْعَمْتَ عَلَيْهِمْۙ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّٓالّ۪ينَ;Nimet verdiklerinin yolunu. Gazabına uğrayanların ve sapkınların yolunu değil.;SrT (صرط): yoluna | nEm (نعم): ni'met verdin | gyr (غير): değil | gDb (غضب): gazabedilmiş olanların | Dll (ضلل): sapmışların
2;Bakara;1;الٓمٓ ۚ;Elif. Lam. Mim.;
2;Bakara;2;ذٰلِكَ الْكِتَابُ لَا رَيْبَۚۛ ف۪يهِۚۛ هُدًى لِلْمُتَّق۪ينَۙ;Bu Kitap, mutlak gerçeğin ta kendisidir. O, muttakiler için hidayettir.;ktb (كتب): Kitap | ryb (ريب): hiç şüphe | hdy (هدي): yol göstericidir | wqy (وقي): müttakiler için
2;Bakara;3;اَلَّذ۪ينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُق۪يمُونَ الصَّلٰوةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَۙ;"Onlar; gayba iman ederler, salatı ikame ederler ve verdiğimiz rızıktan infak ederler.";Amn (امن): inanırlar | gyb (غيب): gaybde(gizlide) | qwm (قوم): ve ayakta tutarlar | Slw (صلو): salatı | rzq (رزق): kendilerini rızıklandırdığımız | nfq (نفق): infak ederler
2;Bakara;4;وَالَّذ۪ينَ يُؤْمِنُونَ بِمَٓا اُنْزِلَ اِلَيْكَ وَمَٓا اُنْزِلَ مِنْ قَبْلِكَۚ وَبِالْاٰخِرَةِ هُمْ يُوقِنُونَۜ;Onlar, sana indirilene ve senden önce indirilmiş olanlara iman ederler. Ve onlar, ahirete de kesin olarak iman ederler.;Amn (امن): iman ederler | nzl (نزل): indirilen | qbl (قبل): senden önce | Axr (اخر): ve ahirete de | yqn (يقن): kesinlikle inanırlar
